"","Tcm_ctr1","Tcm_ctr2","Tcm_ctr3","Tem_ctr2","Tem_ctr3","Tcm_irr1","Tcm_irr2","Tcm_irr3","Tem_irr2","Tem_irr3"
"Tmem167b",2841,2771,3480,4086,3838,4939,3514,2698,4932,4294
"Gpsm2",130,1140,886,888,1040,1540,1232,1156,1435,923
"Prpf38b",4689,3816,3652,4571,3706,3554,4174,3491,2628,3702
"Stxbp3",5838,4098,3910,5164,4636,5019,4331,4164,6086,4891
"Slc25a24",468,1167,1420,4206,4134,2076,2653,3267,3312,3740
"Prmt6",798,2091,2033,1672,964,944,1547,2036,1246,1724
"Rnpc3",2945,1812,1418,2021,1877,1551,1208,1566,1880,1846
"S1pr1",16379,27714,31318,39571,40925,18959,17992,21447,26312,36880
"A930005H10Rik",1515,1078,1518,1165,1402,1481,1365,1672,1726,1704
"Dph5",2533,2028,2106,2110,1379,1651,1975,2986,1665,2461
"Vcam1",66245,33410,67945,26881,43196,182720,185783,46023,132534,33547
"Extl2",572,261,524,683,767,1081,642,512,1327,754
"Rtca",1089,1800,2767,1775,2420,2070,2190,2023,3298,2726
"Slc35a3",1402,1462,1232,1710,1977,2421,2365,1403,1447,1671
"Frrs1",1360,1336,1906,2748,2771,2703,2172,2578,3072,4079
"Cnn3",6461,7518,11207,696,1260,174,234,144,4,154
"Dnttip2",3746,5853,5786,7163,6906,5729,5153,5125,9183,8061
"Gclm",2386,2663,1321,1728,1010,4645,5030,2363,2426,674
"1810037I17Rik",3601,4024,3847,5819,5668,4933,4735,5215,7818,8318
"Mettl14",1081,1642,1021,1948,2156,1290,1254,1297,895,1633
"Snhg8",1386,1455,523,504,386,525,726,1037,555,501
"Larp7",1992,2537,2337,2257,3456,2339,2041,2316,2036,2610
"Ap1ar",1160,3119,1301,2069,1525,1868,2373,2049,1031,1051
"Gar1",671,901,1021,905,942,751,861,598,667,981
"Casp6",2279,1606,2129,2229,1577,1290,1306,1208,2208,2094
"Ostc",5314,5852,6653,6643,8186,7076,6462,6799,8221,9436
"Rpl34",49,169,186,131,107,87,78,121,122,139
"Hadh",1612,2171,2601,3858,3114,2188,2350,2076,2216,2922
"Aimp1",2087,1913,2154,1946,1455,1943,1567,2117,2496,2240
"Ints12",1136,1314,1765,1582,1475,1732,1269,1078,1506,1678
"Ppa2",1453,1530,1890,2480,1735,1582,1824,1565,2688,1918
"Cisd2",2194,2459,3412,3872,4096,5472,4574,3846,5939,4478
"Ube2d3",31485,32846,27915,46638,45765,36225,33067,35406,45397,48223
"4930539J05Rik",120,142,139,174,177,118,203,176,140,190
"Lamtor3",3247,3630,3214,4165,3718,3943,4300,3242,4876,4594
"Dapp1",5624,4501,6258,3631,4182,4468,4115,2452,4769,3146
"Metap1",2420,1954,2756,1702,3108,2488,2101,1660,1744,2899
"Adh5",4940,6045,7716,6732,7673,7796,7695,8775,11649,11803
"Gbp3",4478,2580,4751,4464,4119,6174,5183,4435,5988,6626
"Gbp7",6580,11370,6589,15115,12344,18753,20769,22496,13151,18389
"Gbp2",3138,3078,4231,5360,6736,12120,8590,9043,11051,14110
"Gtf2b",2232,2452,3540,3708,4220,2577,2520,2970,3494,3995
"Lmo4",1496,725,685,488,850,612,719,500,372,322
"Znhit6",715,1068,1101,1722,1291,1310,1330,1392,1168,1982
