"","Tcm_ctr1","Tcm_ctr2","Tcm_ctr3","Tem_ctr2","Tem_ctr3","Tcm_irr1","Tcm_irr2","Tcm_irr3","Tem_irr2","Tem_irr3"
"Madcam1",0.990620208,0.175647955,0.426778123,0,0,0,0.112626714,0,0,0
"Tpgs1",4.536644758,6.656590377,10.63916668,8.194911218,7.549432605,5.745965701,5.844605747,4.651886204,7.218396483,7.239742905
"Cdc34",9.468284571,18.40830967,9.341524299,12.80532434,11.21819388,12.11517827,17.79492361,17.03235696,13.99562217,15.38260654
"Bsg",27.90535652,40.67648942,36.41916436,43.16634617,40.48204512,39.79151072,37.29121309,37.8084337,45.47776865,44.85958626
"Rnf126",1.965603362,3.841151519,0.833382712,0.747524269,0.368544268,0.972610945,1.856192483,2.531089924,0.355516089,0.787259484
"Polrmt",3.624309664,5.003382551,6.823391216,6.259923264,6.430288989,5.351210141,3.866984205,3.689861845,2.766612732,8.705435737
"Ptbp1",18.21732922,22.67677445,22.36883664,22.3303751,22.77625153,19.77229862,18.2787228,19.9741726,20.39527127,25.07876556
"Med16",3.226420675,4.032913915,4.525447763,2.881651078,2.933123619,3.449601724,3.510170057,1.920118169,2.58498159,3.218004342
"R3hdm4",15.14337584,12.31709638,17.6830881,13.47924051,15.21427079,11.72108108,10.27267527,10.08480174,13.8825686,13.75827683
"Polr2e",43.79878572,51.85681985,59.79003407,54.94776593,50.7732327,37.61875018,39.47304723,39.90312288,63.40651856,51.29619985
"Abca7",4.76650443,5.297912744,2.997684695,4.479162379,4.593696666,3.764427338,4.851599492,4.112663372,2.159767331,2.811742939
"Wdr18",8.537711493,10.8291062,10.71664136,9.014379713,10.75383847,10.58476755,10.38099813,11.4112052,13.18699167,12.23923025
"Gpx4",21.31470591,20.2958132,24.32763507,21.33540211,23.89759842,21.63739655,19.7614347,17.2757129,29.61756369,24.01453492
"Cnn2",135.926533,174.0950243,184.9252861,196.1106354,191.9683469,138.1100016,130.3319958,157.9228474,165.0647743,202.2606015
"Tmem259",2.351396953,4.113030141,1.710043891,1.279420838,1.022287927,1.354998862,1.210741972,1.948523737,1.027958455,0.681216655
"Midn",1.411962753,0.754918607,0.437708689,0.432141095,0.286300702,0.730636105,0.985316984,1.388615137,0.336303616,0.399717267
"Atp5d",52.21161677,63.58945731,70.70384987,59.99754385,58.70581563,60.87472096,59.82414211,71.81487078,78.02305233,78.82342408
"Cirbp",10.25016549,7.728701276,9.269224818,7.594692453,8.699405103,8.198544262,9.362089766,8.279372627,14.29652566,10.33956562
"Stk11",5.297954044,6.17646321,2.147853274,2.631513313,3.031831962,4.559986747,4.904561473,4.864697492,2.17002659,1.540447024
"Rps15",323.0060417,369.2554413,176.9070151,120.0994759,120.5281519,160.3757983,233.5217288,319.577958,169.8543268,169.6487099
"Dazap1",0.782414311,1.041618372,0.464162368,0.375357145,0.399391556,0.464738162,0.649999373,0.828742895,0.540092641,0.441831058
"Pcsk4",0.018691804,0.630020926,0.548518653,0.465036337,0,0.775096003,0.823629451,0.935473027,0.704888871,0.636953664
