"","Tcm_ctr1","Tcm_ctr2","Tcm_ctr3","Tem_ctr1","Tem_ctr2","Tem_ctr3","Tcm_irr1","Tcm_irr2","Tcm_irr3","Tem_irr1","Tem_irr2","Tem_irr3"
"Nmrk2",0,0,4,11,0,2,0,18,0,0,0,0
"Dapk3",1398,2897,491,171,351,295,607,2625,2563,2858,274,235
"Snord37",10,60,15,12,20,3,12,12,43,22,5,11
"Zfr2",78,42,4,7,43,11,73,130,1,2,0,3
"Pias4",781,2133,2764,1765,2159,1646,1101,1351,899,1347,1707,2368
"Matk",1142,976,1382,1530,919,1484,335,310,144,433,642,377
"Eef2",62780,106218,68531,56029,51119,57613,57907,61742,75622,79770,61175,71280
"Atcayos",0,0,1,57,0,0,6,2,0,0,0,0
"Tjp3",80,888,1135,613,359,526,504,631,547,502,524,382
"Mrpl54",1949,2634,2961,4423,1972,2225,2188,2175,2665,2430,2993,2946
"Mir6913",0,0,3,0,0,2,7,4,0,1,0,4
"Mir3057",0,6,10,0,5,1,10,5,2,0,1,2
"Mfsd12",275,246,277,0,41,212,244,266,165,208,204,63
"Pip5k1c",3658,8601,9431,5793,6300,7725,7789,6497,6166,5736,4089,5495
"Smim24",506,188,302,435,200,125,219,281,198,238,304,231
"4930404N11Rik",132,169,85,0,42,38,107,165,76,85,28,15
"Hmg20b",460,635,790,723,366,591,613,533,696,465,352,499
"Apba3",1188,1758,2212,1665,2004,1534,1033,1192,1468,1289,1573,1311
"Fzr1",3328,6463,5960,3998,4148,5256,3579,3884,3505,3359,3219,3677
"Dohh",839,2068,3679,1656,2382,3226,2269,1995,1779,2637,2484,3590
"Cactin",1451,3420,3661,2174,3156,2163,2649,1802,2452,1960,2230,3885
"Tbxa2r",1135,3231,4773,3620,3881,2659,3109,3003,3368,3587,4750,6156
"Gipc3",0,5,23,0,0,0,1,4,19,0,22,6
"Nfic",1470,1796,1028,562,1186,2238,1596,1367,1285,1784,1393,1212
"Mir1191b",0,0,0,0,0,0,0,0,1,0,0,0
"S1pr4",4914,10063,9098,5210,9223,11401,4868,5578,6205,7446,5452,7013
"Ncln",2971,5202,5309,4086,5026,4281,4208,4101,4243,4018,4538,4694
