"","Tcm_ctr1","Tcm_ctr2","Tcm_ctr3","Tem_ctr1","Tem_ctr2","Tem_ctr3","Tcm_irr1","Tcm_irr2","Tcm_irr3","Tem_irr1","Tem_irr2","Tem_irr3"
"Sft2d3",865,311,499,235,525,183,851,477,538,428,220,125
"Lims2",0,0,0,0,0,35,0,0,0,0,6,0
"Iws1",2275,3148,2887,1527,3739,2510,2272,1886,2404,2229,2747,2867
"Proc",0,0,0,0,0,0,0,0,0,0,0,21
"Map3k2",1582,946,947,534,1540,1672,1613,1456,1017,1369,781,963
"Bin1",8096,11278,13857,10855,9232,11195,4233,3969,4850,5245,6116,8171
"Gypc",1464,2951,2991,2335,2401,1706,1324,1118,753,1262,1713,2448
"Tslp",120,10,44,0,0,24,114,92,8,30,0,4
"Wdr36",2526,5198,4621,6083,5013,6180,4731,5436,4876,4251,5927,7039
"Stard4",812,467,451,1042,668,826,482,488,900,392,527,842
"Nrep",122,0,4,8,0,0,36,46,0,2,0,2
"Gm10549",0,10,0,0,0,0,0,0,0,0,0,0
"Epb41l4aos",372,540,376,236,140,210,183,301,555,415,186,265
"Srp19",3413,3813,4259,5217,6540,6647,4405,4549,4919,3635,5624,6291
"Apc",1654,3175,1609,2260,1129,1745,2723,2325,2884,2283,694,1317
"Pkd2l2",313,495,384,333,430,620,399,378,399,385,393,407
"Reep5",9568,8042,9966,9000,8462,13068,12235,12391,7707,10219,10857,10505
"Nme5",2,0,0,0,0,0,0,32,6,0,0,0
"4933408B17Rik",4,39,13,0,14,0,20,11,27,13,74,0
"Kif20a",475,649,440,953,281,279,151,213,111,13,154,402
"Cdc23",2732,3909,3468,4057,4378,3779,2896,3535,2499,2436,2499,5014
"Reep2",2,32,159,0,41,0,43,67,83,34,182,0
"Egr1",4444,1326,1954,3656,714,762,1323,1814,852,558,532,716
"Kdm3b",2897,5568,2972,1730,2911,3014,3652,3243,2422,4134,899,2008
"Fam53c",2317,2922,3441,2063,3451,4641,3627,2519,2790,2295,1647,2986
"Hspa9",10700,13104,12737,13812,14551,13795,13684,13021,14790,10291,14895,18159
"Etf1",5164,5073,4251,6273,5699,5687,5052,4700,5168,4241,4495,5603
"Lrrtm2",201,18,0,0,0,50,0,4,68,0,46,0
"Mir1949",12,9,2,1,0,20,0,7,23,0,27,12
"Snora74a",0,0,1,0,0,2,0,0,26,8,7,0
"Matr3",16664,15405,10201,17415,15632,13989,14372,12618,14271,12372,15200,16486
"Mzb1",5354,4146,6231,8723,968,826,1657,1231,1031,558,868,764
"Slc23a1",75,72,39,0,108,17,25,27,52,17,55,34
"Paip2",12292,12977,13179,19714,15499,16345,10527,8728,11025,9417,17787,19537
"Snhg4",302,228,210,59,232,303,225,168,460,146,277,66
"Dnajc18",867,1569,1179,439,1145,1417,1177,953,1494,1201,885,1684
"Spata24",66,36,54,205,59,42,49,113,88,88,206,97
"Tmem173",5642,7717,11174,8719,8603,8511,5597,5567,7775,6146,8068,10570
"1700066B19Rik",61,132,140,165,186,198,98,100,270,100,202,131
"Ecscr",0,18,0,0,0,0,0,15,0,0,0,0
"Cxxc5",1487,2355,1806,1723,112,53,82,146,30,89,30,4
"Psd2",0,0,0,0,62,0,0,50,0,0,0,0
"Pura",773,1567,270,468,238,300,374,852,794,927,286,253
"Igip",532,75,41,149,43,32,32,107,134,107,84,17
"Cystm1",281,322,532,460,126,149,774,951,250,484,704,289
"Hbegf",20,95,76,0,78,0,432,357,128,252,516,536
"Eif4ebp3",393,526,243,214,277,138,302,335,577,423,246,264
"Sra1",3070,3791,5578,4482,4954,5805,4442,3713,4792,4271,5919,7772
"Apbb3",676,1240,1507,921,828,976,651,746,1189,710,665,992
"Slc35a4",6876,10837,12728,7211,10570,12212,10344,9166,10143,8555,11770,13794
"Ik",4854,6843,7199,6301,8544,6877,4998,5370,7197,5707,8434,7795
"Zmat2",2455,2843,3758,4093,3661,3641,3396,3054,3698,3014,4414,5166
"Wdr55",1507,1952,2313,3076,1564,2019,1663,1521,2071,1317,2953,2317
"Vaultrc5",38,74,70,186,76,44,120,70,86,70,78,118
"Dnd1",102,26,36,4,96,0,55,22,19,20,19,55
"Tmco6",1122,967,1639,1599,848,1124,999,1083,757,995,1169,1228
"Hars2",1181,3274,2568,3577,3268,2920,2223,1744,2467,1693,2513,3247
"Cd14",1992,1234,3924,2418,1028,1736,3732,2882,1088,1406,2478,688
"Ndufa2",4516,4883,6631,5782,5616,5918,5071,4717,4726,5697,7979,7820
"Hars",2177,4078,5291,5380,4013,4625,3853,3273,4299,3506,4400,5275
"Gm6756",2,0,10,0,2,2,0,2,0,0,2,0
"Pcdhb7",0,0,0,0,24,0,6,0,0,4,0,0
"Pcdhb4",0,0,0,0,0,0,0,14,0,0,0,0
"Pcdhb1",0,4,0,0,0,0,0,0,0,0,0,0
"Pcdhb12",2,0,1,0,0,0,0,0,0,0,0,0
"Pcdhb9",118,0,0,0,0,0,0,0,2,0,0,0
"Pcdhb10",0,0,8,0,0,30,0,0,0,0,0,0
"Pcdhb11",0,0,11,0,0,0,0,0,0,0,0,0
"Pcdhb14",0,0,0,0,0,0,34,0,0,0,0,0
"Pcdhb22",42,0,42,0,0,0,0,0,0,0,0,0
"Pcdhb19",0,0,6,0,0,0,0,4,74,0,0,2
"Pcdhb20",0,0,0,0,0,0,0,0,0,6,0,0
"Pcdhb18",0,0,0,0,0,0,0,1,0,0,0,0
"Pcdhb21",0,0,0,0,0,0,0,22,0,0,0,0
"Slc25a2",96,0,11,0,22,28,0,2,0,0,14,2
"Taf7",1100,985,1382,1518,1044,1268,1060,1224,1205,736,1821,1894
"Pcdhgb7",30,6,29,0,12,18,4,42,14,0,0,0
"Pcdhga11",102,10,19,0,0,0,14,29,14,52,0,3
"Pcdhgc5",0,0,0,0,0,0,0,33,32,0,0,0
"Pcdhgc4",0,71,27,76,0,66,0,102,0,33,124,23
"Pcdhgc3",0,95,82,0,48,398,77,165,45,239,145,143
"Pcdhgb8",0,2,0,0,0,0,22,0,10,0,0,0
"Pcdhga12",2,87,1,0,0,45,0,5,0,80,6,54
"Hdac3",4381,3956,3172,3005,3100,3180,3233,3460,3144,3579,3056,3592
"Arap3",328,259,141,22,0,0,317,464,241,242,0,0
"Fchsd1",166,529,783,390,604,1013,351,563,359,730,408,631
"Rell2",63,42,44,0,20,29,29,37,17,15,9,18
"0610009O20Rik",457,635,451,393,383,381,398,439,433,402,173,318
"Pcdh1",0,2,22,0,0,0,2,0,0,0,0,0
"1700086O06Rik",78,13,36,0,2,4,24,41,16,56,38,86
"Rnf14",3006,5038,4909,5962,7246,6636,6236,5929,5239,5311,6603,6861
"Gnpda1",3576,4852,6890,4920,4351,6254,8631,7343,5227,4688,7334,6277
"Ndfip1",11598,13596,13134,14658,16030,17447,18205,17728,12875,13251,21916,16717
"Spry4",0,0,6,4,32,0,58,145,0,26,0,0
"Fgf1",232,268,331,0,260,231,877,437,2,326,268,0
"Pabpc2",0,0,0,0,0,0,0,0,4,0,0,0
"Yipf5",2951,3085,3081,3909,4119,3039,4075,3317,3074,2872,5186,4144
"2900055J20Rik",0,0,16,0,0,0,0,0,0,0,0,0
"Plac8l1",0,0,0,0,0,0,0,0,4,0,0,0
"Gm4013",94,74,87,96,112,105,108,42,115,82,185,128
"Tcerg1",4521,5644,4020,4546,4629,4306,4571,5310,4887,3304,3154,5417
"Gpr151",0,0,0,0,0,0,0,0,0,2,0,0
"Spink1",0,0,0,0,0,2,6,40,0,0,0,0
"Spink5",34,0,0,0,0,0,0,4,0,0,0,0
"Spink12",0,0,0,0,0,0,0,3,0,0,0,0
"Gm10267",0,2,0,0,0,0,0,2,0,0,0,0
"Dcp2",970,661,807,598,612,658,1005,814,1099,871,1115,696
"Myot",0,0,0,0,13,0,0,0,0,0,0,0
"Ythdc2",1130,914,534,533,667,475,848,820,607,421,333,374
"Trim36",500,580,768,370,794,876,303,427,218,177,459,638
"Ccdc112",195,60,81,0,32,3,12,60,18,30,20,26
"Fem1c",1488,2025,1298,1976,1728,860,1332,1282,2000,1625,1322,1930
"Mospd4",20,0,0,0,0,11,0,20,0,0,0,0
"Tmed7",3825,5775,511,1048,660,1018,1204,6725,7282,7907,845,722
"Eif1a",3910,3850,4430,4394,4458,3961,6270,5647,5471,4057,5966,5660
"Ticam2",753,535,652,683,207,477,880,639,128,527,529,68
"Cdo1",0,24,32,0,5,40,36,6,0,2,4,6
"Atg12",3616,2951,4019,6308,4950,5972,4803,3698,3258,3043,5480,6731
"Ap3s1",3342,4024,2964,3112,6650,6434,3629,3625,3905,3322,4104,4670
"9130209A04Rik",0,6,0,0,0,0,0,0,0,0,0,0
"Dtwd2",479,288,315,364,595,520,412,373,533,440,660,368
"Hsd17b4",6448,4297,5150,7119,5075,5071,7146,6878,4431,4868,7935,5987
"Fam170a",0,0,0,0,0,12,5,0,0,0,0,0
"Lox",6,0,0,0,0,0,0,0,0,0,0,0
"Srfbp1",944,1243,1115,1904,1208,1247,520,1054,1016,699,1283,1460
"1700034E13Rik",0,0,0,0,0,0,0,2,0,0,0,0
"Gykl1",0,0,0,0,0,0,0,3,0,0,0,0
"Ppic",2,134,114,556,30,148,0,46,94,4,44,128
"Gm19466",126,30,20,0,0,3,0,22,9,13,0,0
"Redrum",13,0,22,0,54,0,0,0,0,0,6,2
"Aldh7a1",571,339,372,252,453,394,885,745,471,722,462,798
"Tex43",0,1,9,0,2,0,0,0,0,0,0,3
"Phax",2181,2571,2900,3701,3187,3162,2477,2167,2236,2257,3686,3919
"Lmnb1",1040,235,778,434,869,1004,296,600,576,479,494,455
"C330018D20Rik",995,862,892,1037,791,917,1001,889,907,979,1193,1350
"Gm10536",0,0,14,0,0,0,0,4,0,0,0,0
"Prrc1",1436,2101,1841,2168,2217,2740,3129,2069,1584,2190,1603,2498
"4930511M06Rik",0,0,0,0,0,0,4,0,0,0,0,0
"2210409D07Rik",0,2,0,0,0,0,0,0,0,0,0,0
"Isoc1",4848,4684,2174,3464,3889,2900,4146,4965,4557,3599,3425,2477
"Gm4841",2,62,34,0,0,0,1,2,2,5,6,0
"Gm4951",168,171,200,971,4,301,1767,1554,538,557,1429,284
"Iigp1",958,400,685,1243,585,528,4449,2477,1280,1844,2815,1006
"F830016B08Rik",0,4,23,0,56,15,92,96,28,177,145,4
"Smim3",556,449,904,872,756,1028,895,723,216,333,1219,922
"Synpo",196,34,12,0,60,0,0,14,26,130,0,0
"Rbm22",3257,4931,2117,2590,2217,2781,2524,2511,3074,4375,1568,2400
"Myoz3",0,0,0,0,0,0,0,0,24,0,0,0
"Rps14",48625,60162,52680,58899,44870,43762,47690,55239,70397,68072,67591,80460
"Cd74",485812,469668,584446,524144,50482,69984,90457,91635,39786,40726,54080,17000
"Mir5107",282,222,183,221,1,3,8,7,1,0,0,0
"Arsi",0,89,98,29,27,77,204,38,0,88,122,59
"Slc6a7",36,12,9,0,0,0,2,5,0,0,0,0
"Hmgxb3",2897,2751,1940,761,1988,1812,2228,2283,2281,1940,1123,2790
"Csf1r",43700,27423,56485,40730,18425,29404,66836,63675,17373,26721,36989,12483
"Pde6a",26,0,0,0,0,0,1,0,3,0,0,0
"Csnk1a1",12075,13626,10517,14854,15642,13875,12849,11858,12586,10117,13093,16448
"Arhgef37",56,77,242,356,0,0,8,30,0,0,0,0
"Grpel2",2069,2525,2433,1145,2444,1318,1101,1291,1812,1278,1604,2586
"Pcyox1l",484,351,573,238,509,288,317,225,270,315,291,508
"1500015A07Rik",466,340,208,4,576,309,212,154,308,266,274,338
"Bvht",6,0,10,0,0,0,0,28,29,16,66,0
"Adrb2",5535,4709,7999,8239,5821,4981,4567,5017,4761,3834,6804,8457
"2700046A07Rik",0,0,0,0,0,0,0,12,0,0,0,0
"Apcdd1",0,0,0,4,0,0,0,0,0,0,0,0
"Napg",2426,2665,2691,2805,4640,3033,4171,3510,3148,2731,3023,3655
"Txnl1",5534,3537,4140,5895,5235,4727,4800,4755,5001,3874,6741,5709
"Nars",5925,7942,8600,3825,9263,11237,9937,8905,7785,6678,9208,9522
"Malt1",7374,7856,7283,7930,7613,5781,3814,3993,5548,3655,2500,5226
"Oacyl",0,4,0,0,0,0,0,0,0,0,0,0
"Grp",11,0,3,0,0,0,0,0,0,0,2,0
"Sec11c",8378,7220,7711,10720,7275,6820,6276,6872,7007,5931,7862,7346
"Lman1",2621,2070,2313,2951,3299,2439,3931,2741,2424,1962,4500,3802
"Cplx4",0,0,0,0,0,0,6,0,0,0,0,0
"Pmaip1",3556,2545,2964,2372,6531,6295,9347,9682,7295,9674,15813,13128
"Gm9926",0,0,0,0,0,0,4,0,30,0,0,0
"Mc4r",0,0,0,0,0,0,0,0,2,0,0,0
"Gm19784",2,0,0,0,0,0,0,0,0,0,0,0
"Chmp1b",3200,2496,3146,3546,4091,4370,3542,3791,3489,3006,5280,5036
"Impa2",303,736,749,564,664,628,339,297,486,322,273,344
"B430212C06Rik",16,12,8,7,30,14,57,7,82,12,0,3
"Afg3l2",1960,3766,4080,2530,4272,4778,3786,4514,3837,3689,4493,5062
"Tubb6",1004,1274,1241,1794,593,863,1442,1340,451,515,1100,717
"Slmo1",0,0,0,0,0,0,0,0,0,0,12,0
"Ptpn2",3338,5725,4561,6678,7926,8211,7033,6442,7501,4662,7578,9319
"Psmg2",2187,3014,2649,2265,2459,2831,2592,2440,2475,2048,2614,3163
"Seh1l",3678,4983,4125,2977,4064,4250,4106,3221,4016,2882,3617,4025
"Cep192",1117,2628,1059,779,1943,2075,2437,2164,2612,1998,565,1138
"4930549G23Rik",72,4,67,0,27,0,1,80,8,0,64,60
"Mc5r",0,0,20,0,0,0,0,4,0,0,0,0
"Rnmt",2923,2151,2054,3727,3249,3244,2260,2145,3158,1432,3957,3134
"Ccdc68",0,0,18,0,0,0,0,0,0,0,0,0
"Stard6",41,34,52,0,40,170,92,51,26,52,63,57
"4930503L19Rik",456,1070,719,295,1568,1240,859,776,1142,604,865,897
"Mbd2",2027,2245,1141,1627,1750,1410,2556,2318,3029,2971,3112,1938
"Mex3c",967,800,503,828,430,386,886,879,736,694,602,600
"Elac1",922,975,1492,572,1852,2289,1550,2018,1454,1604,1931,1658
"Mro",6,0,10,0,0,0,0,3,3,0,0,0
"Ska1",170,146,150,162,64,116,0,46,0,0,0,28
"Cxxc1",3903,5463,5242,6142,5295,4408,4176,3696,3885,3411,3089,5666
"Mbd1",1192,2077,1556,995,1351,1299,1439,1426,1851,1132,900,1088
"Scarna17",0,0,0,0,0,2,0,1,5,4,2,11
"Acaa2",4330,6176,6464,7644,6818,6218,4918,5528,5209,4607,6423,7110
"Lipg",0,0,0,0,0,0,2,40,0,0,0,0
"BC031181",3724,4948,4847,7517,6354,6763,5888,6025,4934,5263,6676,8238
"Rpl17",27757,34525,14979,17403,12377,9966,18070,25903,36917,40841,20515,21683
"2010010A06Rik",0,5,0,0,4,0,0,0,6,0,0,0
"Smad7",655,1158,353,260,456,296,549,766,940,1354,302,468
"Skor2",0,0,0,0,0,0,0,0,7,0,0,0
"Hdhd2",1245,1765,1654,2808,1961,2110,1677,1725,1600,1197,1399,1813
"Katnal2",0,2,0,0,0,0,0,0,0,0,0,0
"8030462N17Rik",332,283,59,14,186,114,137,190,517,238,40,109
"4930465K10Rik",0,0,0,0,2,0,0,2,7,0,0,0
"Atp5a1",29801,34968,44121,44523,37729,43175,35705,33561,29120,29244,38828,45262
"Haus1",484,758,838,765,621,594,826,973,681,776,801,839
"Siglec15",0,2,0,0,0,0,0,0,0,0,0,2
"LOC105246506",46,24,0,0,27,11,28,25,7,1,0,0
"Adnp2",1491,1847,1715,238,1398,2542,1871,2059,1355,1375,980,1340
"Rbfa",936,1464,1773,2131,1616,1601,1084,1101,994,1106,1914,1853
"Pqlc1",1639,2773,2710,2329,1351,1566,859,1496,884,620,1452,956
"Hsbp1l1",6,12,0,0,6,0,0,8,8,7,0,0
"Ctdp1",2987,4387,1707,626,2863,1006,3056,4194,4709,3730,1612,1750
"Sall3",0,0,0,0,0,0,0,22,6,0,0,0
"Galr1",0,0,15,0,0,0,0,0,4,0,0,0
"Zfp236",926,1665,1167,1199,1012,1008,1463,1110,1596,1574,502,671
"2210420H20Rik",0,0,0,0,0,0,4,0,0,0,0,0
"4930445N18Rik",36,0,0,0,0,0,0,6,0,0,0,0
"4921531P14Rik",0,0,0,0,0,0,0,0,2,0,0,0
"Zadh2",2145,881,1030,1035,1402,1218,1291,768,979,1230,1443,1279
"Cndp1",0,0,8,0,0,0,0,0,15,0,0,0
"Fam69c",2,0,0,0,0,0,0,0,8,0,0,0
"Cyb5a",9573,5909,7488,13031,4334,6234,14312,14050,6997,7463,16450,7551
"Timm21",1048,1680,1932,2051,1861,1936,1912,1518,1549,1213,1885,2286
"Fbxo15",0,0,0,0,0,0,0,0,6,0,0,0
"Neto1",0,0,2,0,0,0,0,0,0,0,0,0
"Cbln2",0,0,0,0,0,0,0,2,0,0,0,0
"Socs6",601,1376,1135,1644,1696,739,937,1386,1025,1211,1551,847
"Tmx3",7427,4569,3132,4862,6694,7512,4860,5621,4049,4505,4645,6779
"Dock8",10765,8748,15646,13244,11778,12793,11255,9914,10646,8122,11481,10945
"Sorcs1",0,0,0,0,0,0,13,6,0,0,0,0
"Slc22a30",0,0,0,0,0,0,0,9,0,0,0,0
"Zdhhc16",1248,1943,2281,1596,1889,1761,1464,1315,1541,1030,1682,2381
"Vps13a",2640,2221,1267,1073,2057,1561,1436,2201,1908,1581,2242,1560
"Mark2",5940,8183,4298,3049,4778,4745,5870,6064,5315,5245,2810,4093
"Ppp1ca",29472,39818,48528,43500,46294,57222,31219,28538,31420,35419,53346,57011
"Ehd1",3852,4104,6600,3929,1276,3013,4016,4164,2145,2814,3668,2190
"Pacs1",5203,9260,7168,5104,8359,10103,5955,5610,4814,6281,4803,5891
"Fam111a",6250,6717,5744,6840,3832,5152,4903,4408,4490,4373,4707,6479
"Pcsk5",30,23,0,0,0,2,0,8,8,0,0,0
"Tjp2",64,278,356,55,382,104,513,407,526,344,249,229
"Trpm6",0,0,30,0,0,0,118,143,30,16,0,0
"Prkg1",0,0,0,0,0,0,0,2,1,0,0,0
"Plgrkt",1732,1866,2635,2613,2390,2164,2207,2219,1730,1477,2740,2734
"Minpp1",3268,3025,2900,2836,3462,3185,3152,2324,2290,2273,3366,3325
"Glis3",124,93,46,198,66,88,1004,430,70,62,228,144
"Noc3l",521,1186,685,1752,566,972,677,930,1248,976,448,1500
"Cyp2c69",0,0,0,0,0,0,0,0,13,0,0,0
"Sorcs3",7,0,5,0,0,0,4,19,47,2,0,0
"Erlin1",1598,1537,1027,1822,762,1016,702,994,686,580,712,483
"Neurl1a",2,0,2,3,0,0,10,0,0,2,0,0
"Atrnl1",172,226,76,0,0,172,117,386,17,100,2,7
"Vti1a",1059,1117,1447,1180,2009,1876,1219,1410,1522,1156,1353,1739
"Fam45a",1883,2564,3006,2844,3753,3601,3212,3537,3072,2733,4611,3854
"Ppp6r3",4721,5810,4531,4217,4970,5172,5061,5994,6203,7301,5925,8315
"Kmt5b",4030,5481,3890,4137,4730,4908,3676,4194,3663,3374,2034,3400
"Lrp5",154,82,10,10,11,41,47,75,129,146,2,22
"Ighmbp2",563,1324,1806,881,1485,1669,1501,811,1037,764,882,1791
"Pcx",148,448,958,0,546,780,404,182,67,257,194,417
"Klc2",140,312,20,24,14,37,66,50,115,141,16,67
"Sptbn2",0,8,14,0,48,10,0,11,23,24,2,0
"Syt12",0,0,0,0,0,0,15,48,1,45,0,1
"Kdm2a",5316,6405,4459,4203,4755,4510,5589,4946,4643,4283,2318,3121
"Scyl1",2661,3995,4381,3078,3858,4043,3359,3000,2814,2901,3259,3955
"Dpf2",4259,7190,6560,3825,4863,5139,5160,4662,4492,5321,3380,6534
"Snx32",600,617,459,244,314,606,281,387,455,432,465,422
"Bad",889,1155,1258,1462,1207,1714,747,1004,595,755,1333,914
"Nrxn2",8,8,22,0,53,7,22,22,4,5,10,0
"Macrod1",587,511,455,262,316,312,290,404,409,302,362,315
"Rtn3",6924,7696,7593,9479,9913,10014,9698,9506,8022,7341,8598,8772
"Lgals12",0,4,0,0,0,0,0,0,6,0,0,0
"Slc22a28",0,0,0,0,0,0,10,0,0,0,0,0
"Ganab",6495,9114,9488,9799,10370,10717,8739,7809,7364,9290,8894,12109
"Taf6l",501,522,615,1042,342,412,190,331,286,246,473,472
"Ahnak",8450,17544,8374,3843,20692,25343,12594,14844,16665,20248,10915,12500
"Fads2",211,0,0,112,72,0,0,0,0,14,0,0
"Myrf",0,1,0,0,0,0,0,0,0,33,0,0
"A430093F15Rik",486,203,404,528,696,494,230,303,339,393,374,600
"4930526L06Rik",0,0,0,0,0,0,7,0,0,0,0,0
"1700025F22Rik",0,0,0,0,0,0,0,3,1,0,0,0
"Ddb1",11856,14372,12269,7620,12120,14410,12872,13859,11409,13127,9466,13634
"Tmem109",2150,2813,5938,2346,5700,6496,4078,3234,3788,3010,6356,7525
"Patl1",1339,1441,583,519,816,538,587,843,1195,1244,355,762
"Stx3",302,399,169,1056,157,382,384,334,481,591,378,315
"Keg1",2,0,0,0,0,0,0,4,0,0,0,0
"Tle4",2080,1992,1450,2912,2138,1781,2324,2328,2239,3201,1417,2615
"Gna14",0,0,30,0,0,0,0,0,24,1,0,0
"Gnaq",1539,762,483,510,392,502,547,1095,838,584,406,416
"C130060C02Rik",0,25,11,0,0,0,26,0,0,0,5,0
"Prune2",40,12,2,6,0,0,2,99,12,6,12,14
"Ostf1",11593,19490,23114,15552,27361,29520,21496,20104,18316,19165,31159,27666
"Rorb",15,4,0,0,0,0,0,2,4,0,0,2
"Tmc1",0,0,24,0,0,0,0,3,13,0,0,0
"Aldh1a7",0,0,56,2,0,0,0,0,2,0,0,0
"1110059E24Rik",3678,2524,3012,6449,1662,1412,1721,1292,1368,1106,1833,2183
"Trpm3",0,0,15,2,0,0,2,8,84,0,0,0
"1700028P14Rik",0,0,0,0,0,0,2,0,1,0,0,0
"Apba1",179,20,14,2,4,0,78,60,6,44,26,4
"Fam189a2",0,0,0,0,0,0,0,4,0,0,0,4
"Pip5k1b",21,71,177,406,4,4,48,13,9,0,0,2
"Pgm5",0,0,4,0,0,0,0,2,0,0,0,0
"Kank1",0,0,0,0,66,2,0,4,14,0,3,0
"Smarca2",5221,4928,5457,4635,4672,5309,4542,5763,5747,4770,3543,4622
"Rfx3",786,786,711,353,1096,1331,743,785,1021,675,741,670
"Pum3",4238,5517,4953,6675,5357,4036,4863,4963,5301,3467,5720,5897
"Slc1a1",2,0,0,0,2,0,0,50,9,0,0,0
"D930032P07Rik",0,0,0,0,0,0,0,34,0,0,6,0
"Gldc",32,18,57,0,6,0,64,49,53,38,4,84
"9930021J03Rik",2363,1090,572,676,392,805,818,622,815,797,459,781
"Ermp1",2119,2301,3142,2930,2908,4556,4625,5062,2545,3411,2116,2444
"Sgms1",4978,5579,6634,3461,4909,2860,2256,2305,3018,1842,2692,2919
"Rnls",265,273,350,562,222,351,314,312,262,227,559,258
"Papss2",526,182,126,415,10,476,655,506,502,430,6,287
"Pten",19338,18930,5747,10983,8492,11516,14665,19733,16390,14150,11999,8347
"Stambpl1",1633,1909,2339,4195,2006,1948,1576,1096,1263,1155,1633,2236
"Pank1",640,393,138,54,233,47,82,298,56,288,8,86
"Slc16a12",0,4,0,0,0,0,0,0,0,44,0,0
"Pcgf5",687,1349,866,977,1082,694,1371,1532,1351,1044,1135,1270
"Hectd2",338,13,44,121,153,194,13,0,19,66,111,183
"Htr7",2,80,0,0,0,0,86,12,0,0,0,0
"Btaf1",3195,4150,2237,2010,3187,3555,3273,4170,3771,3036,1072,1787
"March5",4811,5704,5295,3736,5545,4821,6433,5406,5198,4774,6996,5973
"Exoc6",3889,3309,3284,5095,3405,3769,3330,3407,1347,2500,3856,3037
"Cpeb3",165,131,9,0,79,58,54,44,9,60,18,2
"Myof",1375,876,549,787,268,190,1226,1285,329,854,288,122
"Plce1",307,2,24,373,0,125,0,1,3,0,0,0
"Pde6c",0,0,2,0,0,0,7,0,24,0,0,0
"Lgi1",24,2,0,0,0,0,0,0,8,0,0,0
"Slc35g1",1462,2061,1176,1629,2490,2371,2491,2116,1986,1104,1344,1740
"Cyp2c38",1,0,0,0,0,1,0,0,0,0,0,0
"Cyp2c68",27,0,0,0,0,0,0,0,0,0,0,0
"Sorbs1",887,1239,1586,312,2282,2661,1032,1103,825,973,1538,1394
"Cyp2c50",0,0,0,0,0,0,8,0,0,0,0,0
"Pdlim1",5230,5695,6445,6645,6885,5613,5402,4979,6313,4042,6468,8990
"Entpd1",5248,2249,4121,2925,2686,2726,7734,9583,2788,4187,6279,3115
"Slit1",86,0,60,6,0,0,0,117,0,8,0,0
"Tll2",0,16,3,0,0,0,19,9,6,5,8,1
"Lcor",809,382,301,350,314,264,180,486,274,109,550,345
"Pik3ap1",4766,5504,8483,7060,5609,7019,8440,7480,4167,5798,4774,7319
"Crtac1",0,0,0,0,0,0,0,0,32,0,0,0
"Loxl4",0,26,26,138,24,10,30,6,0,14,96,0
"Pyroxd2",184,224,70,0,0,68,212,356,81,62,270,162
"Got1",2031,2081,2348,3591,3595,3398,2419,2529,2302,2278,3194,3687
"Dnmbp",886,709,1351,1432,864,1091,921,758,942,448,634,870
"Pkd2l1",0,0,16,0,0,0,0,0,0,0,0,1
"Scd2",3423,2567,1705,3870,797,1158,7278,6043,4766,5662,3998,5228
"Fam178a",5996,4293,3399,2635,3750,4015,3584,3982,3918,1478,2879,2882
"Hif1an",767,2909,2504,1417,3902,3633,3212,2738,3297,2595,1166,2861
"Btrc",1507,1737,1730,1954,1243,2019,1096,1379,1027,842,1314,2007
"Fbxw4",714,730,959,170,848,946,788,1158,1231,1488,742,1145
"9130011E15Rik",829,1190,484,341,739,699,799,633,567,840,750,774
"Sufu",1116,3184,2755,3456,1663,1492,1241,1957,1670,1228,862,1525
"Gbf1",2293,4335,3191,2453,3157,3330,4954,4059,3374,4501,2139,3464
"Nt5c2",2329,1937,2544,3150,2269,2325,2112,2245,1193,1272,2720,1899
"Cnnm2",358,266,351,0,254,483,350,361,128,184,42,482
"Sh3pxd2a",593,309,169,112,24,58,58,126,97,87,4,0
"Cfap58",0,0,0,0,0,0,0,21,0,0,0,0
"Add3",15232,19236,20490,22013,20809,20275,12313,12229,15645,12863,12950,20102
"Mxi1",1322,1468,375,660,598,226,394,1070,1210,1296,686,334
"Rbm20",29,46,34,0,5,0,41,47,33,23,15,19
"Smc3",5663,6492,5262,5092,10026,8652,5236,5576,5480,4327,6179,7762
"Shoc2",4017,4527,3223,4158,6013,5331,4807,4873,3747,4543,3552,5185
"Zdhhc6",4701,3868,4282,1269,4697,4507,4070,4378,4391,3362,4628,4866
"Tectb",27,0,0,0,0,0,0,9,1,0,0,0
"Nrap",0,0,0,0,0,3,0,1,1,0,0,18
"Tcf7l2",2054,2090,883,965,484,897,4364,7457,1681,2934,2713,711
"Ablim1",30933,46268,41985,43500,47252,46561,29471,29108,36785,28599,31350,41674
"Gfra1",0,0,0,0,0,0,0,2,14,0,0,0
"Hspa12a",310,86,99,102,0,0,0,3,0,1,2,0
"Shtn1",1152,364,394,518,288,196,1270,1057,377,444,494,200
"Cacul1",2219,2945,2060,2051,4362,3150,3242,2696,2877,2886,1512,2249
"E330013P04Rik",0,0,0,0,0,0,0,5,0,0,0,0
"Grk5",68,211,126,58,182,191,200,172,282,278,148,282
"Zfp950",2667,2527,1731,2329,1784,1508,1476,1414,2389,809,1712,778
"1700030N03Rik",0,0,0,0,0,0,0,2,0,0,0,0
"Mtl5",0,80,118,8,46,26,129,206,36,76,52,78
"Mrpl21",1974,1891,2442,2304,2006,2136,2360,1935,2321,2105,2794,2575
